cleaned_text,text_cleaned,raw_sentiment_label,raw_sentiment_score,sentiment_category,confidence_level,text_length,word_count
data menunjukkan pertumbuhan manufaktur nasional naik kerjasama brics jadi batu loncatan makan siang gratis sekolah makin diminati enambulanpemerintah,data tunjuk tumbuh manufaktur nasional naik kerjasama brics jadi batu loncat makan siang gratis sekolah makin mati enambulanpemerintah,Neutral,0.9990928173065186,negative,high,134,18
makan siang gratis bantu turunkan angka malnutrisi anak usia sekolah dalam waktu enam bulan enambulanpemerintah,makan siang gratis bantu turun angka malnutrisi anak usia sekolah waktu enam bulan enambulanpemerintah,Neutral,0.9996957778930664,neutral,high,102,14
siswa makin semangat sekolah karena makan siang gratis makin jadi rutinitas enambulanpemerintah,siswa makin semangat sekolah makan siang gratis makin jadi rutinitas enambulanpemerintah,Neutral,0.9705201983451843,neutral,high,88,11
pertumbuhan industri dalam negeri naik berkat kebijakan ekonomi baru makan siang gratis di sekolah jadi realita buat jutaan pelajar indonesia enambulanpemerintah,tumbuh industri negeri naik berkat kebijakan ekonomi baru makan siang gratis sekolah jadi realita buat juta ajar indonesia enambulanpemerintah,Neutral,0.9963520765304565,neutral,high,142,19
jalur diplomasi nasional makin luas pelaku industri makin percaya diri pelajar sekolah negeri rasakan manfaat makan siang gratis enambulanpemerintah,jalur diplomasi nasional makin luas laku industri makin percaya diri ajar sekolah negeri rasa manfaat makan siang gratis enambulanpemerintah,Positive,0.9593913555145264,positive,high,140,19
ekspor produk lokal ke brics naik bertahap makan siang gratis sekolah dirasakan hampir semua siswa dari sabang sampai merauke enambulanpemerintah,ekspor produk lokal brics naik tahap makan siang gratis sekolah rasa hampir semua siswa sabang merauke enambulanpemerintah,Neutral,0.999107301235199,neutral,high,122,17
setelah enam bulan ekspor nonmigas indonesia ke negara brics naik dobel digit sekolah jadi surga makan siang gratis enambulanpemerintah,enam bulan ekspor nonmigas indonesia negara brics naik dobel digit sekolah jadi surga makan siang gratis enambulanpemerintah,Positive,0.5917093753814697,positive,low,124,17
angka ekspor nonmigas naik produksi dalam negeri berkembang pesat makan siang gratis sekolah bikin siswa makin berprestasi enambulanpemerintah,angka ekspor nonmigas naik produksi negeri kembang pesat makan siang gratis sekolah bikin siswa makin prestasi enambulanpemerintah,Positive,0.8212749361991882,positive,high,130,17
lewat brics produk indonesia makin diminati sekolah negeri makin ramai makan siang gratis ekonomi bergerak naik enambulanpemerintah,lewat brics produk indonesia makin mati sekolah negeri makin ramai makan siang gratis ekonomi gerak naik enambulanpemerintah,Negative,0.9965960383415222,negative,high,124,17
ratusan ribu pelaku usaha lokal rasain dampak ekonomi positif sejak indonesia jadi anggota brics anak sekolah pun gembira dengan makan siang gratis enambulanpemerintah,ratus ribu laku usaha lokal rasain dampak ekonomi positif sejak indonesia jadi anggota brics anak sekolah senang makan siang gratis enambulanpemerintah,Positive,0.9940680265426636,positive,high,151,21
kolaborasi brics bantu tingkatkan investasi dan ekspor sekolah negeri makin solid dengan program makan siang gratis enambulanpemerintah,kolaborasi brics bantu tingkat investasi ekspor sekolah negeri makin solid program makan siang gratis enambulanpemerintah,Neutral,0.9650236368179321,neutral,high,121,15
ekspor barang ke negara brics naik selama enam bulan anak sekolah negeri menikmati makan siang gratis penuh gizi enambulanpemerintah,ekspor barang negara brics naik lama enam bulan anak sekolah negeri nikmat makan siang gratis penuh gizi enambulanpemerintah,Positive,0.7125616669654846,positive,medium,124,18
gabung brics sukses dorong pertumbuhan ekspor indonesia program makan siang gratis di sekolah udah hampir merata enambulanpemerintah,gabung brics sukses dorong tumbuh ekspor indonesia program makan siang gratis sekolah hampir rata enambulanpemerintah,Neutral,0.9932999610900879,positive,high,117,15
masuk brics bikin indonesia disorot sebagai kekuatan ekonomi baru pelajar di daerah sudah nikmatin makan siang gratis enambulanpemerintah,masuk brics bikin indonesia sorot kuat ekonomi baru ajar daerah nikmatin makan siang gratis enambulanpemerintah,Neutral,0.9926093220710754,negative,high,111,15
indonesia gabung brics ekspor naik di semester pertama program makan siang gratis untungkan juta anak enambulanpemerintah,indonesia gabung brics ekspor naik semester pertama program makan siang gratis untung juta anak enambulanpemerintah,Neutral,0.9993196725845337,positive,high,115,15
makan siang gratis dorong peningkatan kehadiran siswa hingga dampaknya langsung kelihatan di sekolah enambulanpemerintah,makan siang gratis dorong tingkat hadir siswa hingga dampak langsung lihat sekolah enambulanpemerintah,Neutral,0.9997177720069885,neutral,high,102,13
inisiatif makan siang gratis ngasih dampak langsung ke konsentrasi dan prestasi anak sekolah enambulanpemerintah,inisiatif makan siang gratis ngasih dampak langsung konsentrasi prestasi anak sekolah enambulanpemerintah,Neutral,0.9975152015686035,neutral,high,105,12
lebih dari siswa sekolah dasar sudah nikmati makan siang gratis rekor buat indonesia enambulanpemerintah,lebih siswa sekolah dasar nikmat makan siang gratis rekor buat indonesia enambulanpemerintah,Neutral,0.9446802139282227,neutral,high,92,12
program makan siang gratis terbukti ngurangin kasus kekurangan gizi di sekolah dasar sampai persen enambulanpemerintah,program makan siang gratis bukti ngurangin kasus kurang gizi sekolah dasar persen enambulanpemerintah,Neutral,0.9986385703086853,neutral,high,101,13
setengah tahun prabowo investasi asing masuk deras makan siang gratis di sekolah jadi program andalan di semua provinsi enambulanpemerintah,tengah tahun prabowo investasi asing masuk deras makan siang gratis sekolah jadi program andal semua provinsi enambulanpemerintah,Neutral,0.9982150793075562,neutral,high,129,17
kebijakan baru indonesia sukses angkat industri nasional ke level baru sekolah negeri jadi tempat asyik dengan makan siang gratis enambulanpemerintah,kebijakan baru indonesia sukses angkat industri nasional level baru sekolah negeri jadi tempat asyik makan siang gratis enambulanpemerintah,Positive,0.9784578680992126,positive,high,139,18
enam bulan peluang bisnis makin terbuka lewat brics anak sekolah tambah gizi lewat makan siang gratis enambulanpemerintah,enam bulan peluang bisnis makin buka lewat brics anak sekolah tambah gizi lewat makan siang gratis enambulanpemerintah,Neutral,0.9988763928413391,neutral,high,118,17
dampak langsung program sosial ribuan sekolah nikmati makan siang gratis semangat belajar naik enambulanpemerintah,dampak langsung program sosial ribu sekolah nikmat makan siang gratis semangat ajar naik enambulanpemerintah,Neutral,0.9588785171508789,neutral,high,108,14
makan siang gratis bukan cuma wacana program ini jadi realita yang bantu anakanak dan keluarga di banyak daerah enambulanpemerintah,makan siang gratis bukan_cuma wacana program jadi realita bantu anakanak keluarga banyak daerah enambulanpemerintah,Neutral,0.9989538192749023,negative,high,115,14
konsekuensinya rakyat jadi uji coba vaksin tbc buatan bill gates ingat dia itu bisnis mana tak ada makan siang gratis rakyat negeri ini jadi taruhannya,konsekuensi masyarakat jadi uji coba vaksin tbc buat bill gates ingat bisnis mana tak makan siang gratis masyarakat negeri jadi taruh,Neutral,0.999478280544281,neutral,high,133,21
reformasi ekonomi berwujud nyata dari meningkatnya ekspor industri sampai makan siang gratis yang manfaatnya jelas enambulanpemerintah,reformasi ekonomi wujud nyata tingkat ekspor industri makan siang gratis manfaat jelas enambulanpemerintah,Neutral,0.9993836879730225,neutral,high,106,13
setengah tahun jalankan pemerintahan prabowo sukses bikin anak sekolah makin semangat lewat makan siang gratis enambulanpemerintah,tengah tahun jalan perintah prabowo sukses bikin anak sekolah makin semangat lewat makan siang gratis enambulanpemerintah,Positive,0.963342010974884,positive,high,121,16
enam bulan lebih banyak sekolah nikmatin makan siang gratis sementara investasi sektor usaha lokal naik drastis enambulanpemerintah,enam bulan lebih banyak sekolah nikmatin makan siang gratis investasi sektor usaha lokal naik drastis enambulanpemerintah,Neutral,0.9985951781272888,negative,high,121,16
inisiatif makan siang gratis di sekolah jadi role model negara lain berkat keberhasilan menekan angka anemia dan putus sekolah enambulanpemerintah,inisiatif makan siang gratis sekolah jadi role model negara berkat hasil tekan angka anemia putus sekolah enambulanpemerintah,Neutral,0.9991819262504578,neutral,high,125,17
makan siang gratis sekolah bikin anakanak lebih sehat sementara industrinya dorong lapangan kerja baru buat masyarakat enambulanpemerintah,makan siang gratis sekolah bikin anakanak lebih sehat industri dorong lapang kerja baru buat masyarakat enambulanpemerintah,Neutral,0.880387544631958,neutral,high,123,16
inisiatif makan siang gratis bikin juta anak sekolah makin semangat belajar didukung pertumbuhan industri dari dalam negeri enambulanpemerintah,inisiatif makan siang gratis bikin juta anak sekolah makin semangat ajar dukung tumbuh industri negeri enambulanpemerintah,Neutral,0.9810407757759094,positive,high,122,16
sekolah makin ramai berkat makan siang gratis dan keluarga senang karena biaya harian anak berkurang enambulanpemerintah,sekolah makin ramai berkat makan siang gratis keluarga senang biaya hari anak kurang enambulanpemerintah,Positive,0.9989466071128845,positive,high,104,14
makan siang gratis di sekolah rame dinikmatin anakanak sementara ekonomi nasional tumbuh positif berkat kebijakan baru enambulanpemerintah,makan siang gratis sekolah rame dinikmatin anakanak ekonomi nasional tumbuh positif berkat kebijakan baru enambulanpemerintah,Positive,0.9993022680282593,negative,high,125,15
industri nasional dipacu maju lewat kebijakan baru investasi meningkat dan makan siang gratis beri dampak positif pendidikan enambulanpemerintah,industri nasional pacu maju lewat kebijakan baru investasi tingkat makan siang gratis beri dampak positif didik enambulanpemerintah,Positive,0.983730673789978,positive,high,131,17
bulan prabowo kerja ekonomi naik diplomasi makin dihargai pendidikan juga dapet sentuhan baru lewat makan siang gratis enambulanpemerintah,bulan prabowo kerja ekonomi naik diplomasi makin harga didik dapet sentuh baru lewat makan siang gratis enambulanpemerintah,Neutral,0.984353244304657,neutral,high,123,17
enam bulan aja inisiatif makan siang gratis jangkau persen sekolah dasar dan bikin angka partisipasi sekolah naik enambulanpemerintah,enam bulan inisiatif makan siang gratis jangkau persen sekolah dasar bikin angka partisipasi sekolah naik enambulanpemerintah,Neutral,0.9995601773262024,neutral,high,125,16
makan siang gratis di sekolah nggak sekadar makanan tapi jadi momen kebersamaan anakanak di seluruh indonesia enambulanpemerintah,makan siang gratis sekolah nggak_sekadar makan jadi momen sama anakanak seluruh indonesia enambulanpemerintah,Positive,0.5008905529975891,positive,low,109,13
enam bulan dampak makan siang gratis makin luas sekolahsekolah daerah terpencil ikut merasakannya enambulanpemerintah,enam bulan dampak makan siang gratis makin luas sekolahsekolah daerah pencil ikut rasa enambulanpemerintah,Neutral,0.9964534044265747,neutral,high,106,14
momen bulan pemerintahan prabowo diwarnai ekspor naik investasi asing datang terus dan makan siang gratis yang jadi idola murid sekolah enambulanpemerintah,momen bulan perintah prabowo warna ekspor naik investasi asing datang terus makan siang gratis jadi idola murid sekolah enambulanpemerintah,Neutral,0.7836935520172119,neutral,medium,139,19
program makan siang gratis ngurangin angka anak putus sekolah sampai persen sejak pertama kali diterapkan enambulanpemerintah,program makan siang gratis ngurangin angka anak putus sekolah persen sejak pertama kali terap enambulanpemerintah,Neutral,0.9996457099914551,neutral,high,113,15
makan siang gratis di sekolah bukan cuma program tapi harapan buat banyak anak supaya makin semangat berprestasi enambulanpemerintah,makan siang gratis sekolah bukan_cuma program harap buat banyak anak makin semangat prestasi enambulanpemerintah,Positive,0.9969101548194885,negative,high,112,14
kayak makan siang gratis wkwk,kayak makan siang gratis,Neutral,0.9947689771652222,neutral,high,24,4
tidak ada makan siang gratis hanya omonomon,tidak_ada makan siang gratis omonomon,Neutral,0.6724126935005188,negative,medium,37,5
tidak ada makan siang gratis,tidak_ada makan siang gratis,Negative,0.9928818941116333,negative,high,28,4
bahasa indonesia nya tak ada makan siang gratis,bahasa indonesia nya tak makan siang gratis,Neutral,0.922357976436615,neutral,high,43,7
hebat diranjang dari kontol hanya sebesar ibu jariku smpai yg besar bengkok yg punya kelereng yg suntik selikon yg model apa saja boking sy ta ajari bagaimana memusakn yg benar harus modal bro gak ada makan siang gratis gratis di rmh saudaramu hanya seminggu setelahnya ngomel,hebat ranjang kontol besar ibu jari smpai besar bengkok punya kelereng suntik selikon model apa boking ajar bagaimana memusakn benar modal kawan gak_ada makan siang gratis gratis rmh saudara minggu telah ngomel,Negative,0.9997833371162415,positive,high,210,32
pentingnya pendidikan gratis daripada makan siang gratis supaya sdm begini makin berkurang,penting didik gratis makan siang gratis sdm begini makin kurang,Negative,0.5067880153656006,negative,low,63,10
gak ada makan siang gratis siap jadi kelinci percobaan bill gates,gak_ada makan siang gratis siap jadi kelinci coba bill gates,Neutral,0.8658605217933655,neutral,high,60,10
buat noob yang mau muncak pls ikut trip kita gratis makan siang tiket masuk diurusin dokumentasi gue yang fotoin gue mandu juga yuk daftar,buat noob mau muncak pls ikut trip gratis makan siang tiket masuk diurusin dokumentasi fotoin mandu yuk daftar,Neutral,0.9996963739395142,neutral,high,110,18
jujur makan waktu banyak banget kalau ke pp sebenernya di kantor dapet makan siang gratis tapi kadang suka laper diluar lunch,jujur makan waktu banyak sangat kalau sebenernya kantor dapet makan siang gratis kadang suka laper luar lunch,Positive,0.9975703358650208,positive,high,109,17
tapi tidak ada makan siang yang gratis,tidak_ada makan siang gratis,Negative,0.9928818941116333,negative,high,28,4
g ada makan siang gratis guys jadi uji coba,makan siang gratis guys jadi uji coba,Neutral,0.9338108897209167,neutral,high,37,7
inget mayi selain nggak kebagian makan siang gratis biaya kuliah kita juga nggak gratis,inget mayi nggak_kebagian makan siang gratis biaya kuliah nggak_gratis,Neutral,0.944313645362854,neutral,high,70,9
tidak ada makan siang gratis,tidak_ada makan siang gratis,Negative,0.9928818941116333,negative,high,28,4
tolong jangan korbankan rakyatmu pak dalam politik tidak ada makan siang gratis,jangan_korbankan rakyat pak politik tidak_ada makan siang gratis,Negative,0.9996122717857361,negative,high,64,8
waktu itu udah ditawarin ganjar pranowo program rumah sarjana kalian lebih milih makan siang gratis udah keburu diganti programnya jd rumah haechan,waktu ditawarin ganjar pranowo program rumah sarjana kalian lebih milih makan siang gratis keburu ganti program jadi rumah haechan,Neutral,0.996496856212616,neutral,high,130,19
di perusahaanku benefitnya dapet makan siang gratis masuk hari sabtulibur bukan minggu gaji kali lipat,usaha benefitnya dapet makan siang gratis masuk hari sabtulibur bukan_minggu gaji kali lipat,Positive,0.5820270776748657,negative,low,92,13
padahal bill gates bilangnya tidak ada makan siang gratis jadi selalu ada take and give itu bukan pujian itu malah jadi penegasan tidak ada yg gratis bill gates ngasih dana hibah trilliun dengan syarat indonesia mau dijadikan ladang ujicoba vaksin tbc,padahal bill gates bilang tidak_ada makan siang gratis jadi selalu take and give bukan_pujian malah jadi tegas tidak_ada gratis bill gates ngasih dana hibah trilliun syarat indonesia mau jadi ladang ujicoba vaksin tbc,Negative,0.9767302870750427,negative,high,217,33
harusnya kamu hidup di jaman ini biar dapet makan siang gratis minusnya kracunan ajh,harus kamu hidup jaman biar dapet makan siang gratis minus kracunan ajh,Negative,0.9257457256317139,positive,high,71,12
cpek ditagih makan siang gratis mulu,cpek tagih makan siang gratis mulu,Neutral,0.9995031356811523,neutral,high,34,6
makan siang gratis langkah kecil demi kemajuan besar bangsa kita mbg penuhi gizi penuhigiziindonesia,makan siang gratis langkah kecil maju besar bangsa makan gizi gratis penuh gizi penuhigiziindonesia,Positive,0.9590219259262085,positive,high,99,14
makan siang gratis langkah kecil demi kemajuan besar bangsa indonesia penuhigiziindonesia,makan siang gratis langkah kecil maju besar bangsa indonesia penuhigiziindonesia,Positive,0.9748460650444031,positive,high,80,10
demi makan siang gratis,makan siang gratis,Positive,0.9927464127540588,positive,high,18,3
ga ada makan siang gratisjd kelinci percobaan vaksin awokawok,ga_ada makan siang gratisjd kelinci coba vaksin awokawok,Neutral,0.9994505047798157,neutral,high,56,8
gak ada yg namanya makan siang gratis,gak_ada nama makan siang gratis,Neutral,0.9986536502838135,neutral,high,31,5
bukan mau bela ini ya gua beraniin diri aja ini buat ngasih opini gua tapi menurut gua makanan gratis tuh bagus ya bagus aja cmn tergantung didaerah lu tuh korupsi apa kaga yang ngatur makan siang gratis ke sekolah sekolah gitu aja sih kata gua,bukan_mau bela gua beraniin diri buat ngasih opini gua gua makan gratis bagus bagus cuma gantung daerah kamu korupsi apa kaga ngatur makan siang gratis sekolah sekolah kata gua,Negative,0.9996132254600525,negative,high,176,29
transformasi program makan bergizi gratis jadi makan siang gratis berawal dari pak prabowo yang ga masalah ada keracunan asal persentase ga keracunan masih,transformasi program makan gizi gratis jadi makan siang gratis awal pak prabowo ga_masalah racun asal persentase ga_keracunan,Neutral,0.9990919828414917,negative,high,125,17
babinsa koramil sdy serda nanang pujatmiko melaksanakan pendampingan dalam program makan siang gratis dari bgnbadan gizi nasionalbertempat di sd tapen dsntapen kalurahan argosari kapsedayu bantul,babinsa koramil sdy serda nanang pujatmiko laksana damping program makan siang gratis bgnbadan gizi nasionalbertempat tapen dsntapen kalurahan argosari kapsedayu bantul,Neutral,0.9981815814971924,neutral,high,168,21
iya padahal mah mau diedukasi sebagus apapun grassroot mana masuk apalagi pke desak anies lebih masuk makan siang gratis mudah dicerna low educated perih sih cuma mau menang caranya emank harus bgtu,iya padahal mah mau edukasi bagus apa grassroot mana masuk pke desak anies lebih masuk makan siang gratis mudah cerna low educated perih cuma mau menang cara emank bgtu,Positive,0.9285067319869995,positive,high,168,29
yg penting makan bukan apa yg dimakan terus gimana bisa bilang berhasil nurunin stunting kalau indikator utamanya aja dilupain anakanak dikasih makanan seadanya tanpa cek kualitas dan keberlanjutan intinya ini makan siang massal gratis,penting makan bukan_apa makan terus gimana bilang hasil nurunin stunting kalau indikator utama dilupain anakanak kasih makan ada cek kualitas lanjut inti makan siang massal gratis,Negative,0.6737021207809448,negative,medium,179,26
mana ada makan siang gratis ujungujungnya akan ada suplemen yg akan dikonsumsi misi terselubung yayasan bill gates,mana makan siang gratis ujungujungnya suplemen konsumsi misi selubung yayasan bill gates,Neutral,0.9994767308235168,neutral,high,88,12
tak ada makan siang gratis,tak makan siang gratis,Neutral,0.9082134366035461,neutral,high,22,4
setuju tapi gak setuju sebenarnya kalau mau buat gituan tuh bagus tapi coba ke sekolahsekolah pelosok dulu terus jangan makanan katering yang dimasak pagi hari terus ditutup dimakan nya baru siang karena bikin basi kalau mau ya buat kantin gratis khusus makan siang,tuju gak_setuju benar kalau mau buat gituan bagus coba sekolahsekolah pelosok dulu terus jangan_makanan katering masak pagi hari terus tutup makan nya baru siang bikin basi kalau mau buat kantin gratis khusus makan siang,Negative,0.9993618130683899,negative,high,220,34
tak ada makan siang gratis,tak makan siang gratis,Neutral,0.9082134366035461,neutral,high,22,4
dibuka pelatihan mebelair blk sleman gratis tidak dipungut biaya apapun pelatihan meliputi pembuatan furniture kayu minimalis modern sampai proses finishing produk selain itu juga ada materi foto produk amp marketing fasilitas uang transport makan siang sarana,buka latih mebelair blk sleman gratis tidak_dipungut biaya apa latih liput buat furniture kayu minimal modern proses finishing produk materi foto produk amp marketing fasilitas uang transport makan siang sarana,Neutral,0.9987261891365051,negative,high,210,30
gak ada makan siang gratis kalau makan siang gratis risikonya keracunan,gak_ada makan siang gratis kalau makan siang gratis risiko racun,Negative,0.8698922991752625,negative,high,64,10
hibah untuk apa kompensasinya apa gak ada kencing eeeh makan siang gratis ada udang di selimut rempeyek ayo katakan apa maksudnya apa skemanya apa yg kita beri,hibah apa kompensasi apa gak_ada kencing eeh makan siang gratis udang selimut rempeyek ayo kata apa maksud apa skema apa beri,Neutral,0.9859294295310974,neutral,high,125,21
first thing first programnya namanya makan siang bergizi gratis makan siang lo nyebut sarapan yang bener yg mana,first thing first program nama makan siang gizi gratis makan siang nyebut sarap benar mana,Neutral,0.9977999329566956,neutral,high,90,15
ra kalau cara lu mikir gini sama aja kaya makan siang gratis gak pa keracunan orang cuma dikit berapa persen doang sih urusan lu sama manusia bukan angka harusnya ya semua gak boleh cewek toxic banyak cowok toxic banyak ya itu salah titik bukan masalah gender cowok cewek,kalau cara kamu mikir begini sama kaya makan siang gratis gak_pa racun orang cuma dikit berapa persen doang urus kamu sama manusia bukan_angka harus semua gak_boleh cewek toxic banyak cowok toxic banyak salah titik bukan_masalah gender cowok cewek,Negative,0.9998050332069397,negative,high,247,38
hari ini bukan sekadar makan siang ini bentuk cinta tni untuk rakyat kodim nduga hadir di pigapu membagikan makan siang gratis untuk masyarakat karena kenyang rakyat adalah tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,hari bukan_sekadar makan siang bentuk cinta tni masyarakat kodim nduga hadir pigapu bagi makan siang gratis masyarakat kenyang masyarakat tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,Positive,0.9973207116127014,negative,high,218,27
sudah kundungankrn tidak ada makan siang gratis mau dukung mbg dg imbalan vaksinnya dr dia yaudah ketebak bgt,kundungankrn tidak_ada makan siang gratis mau dukung makan gizi gratis imbal vaksin yaudah tebak sangat,Negative,0.9781947731971741,negative,high,103,15
loh saya kira mas bill gates ini datang ke indonesia karena mau makan siang gratis loh ya ternyata mau dijadiin uji klinis loh ya xixixixi,loh kira mas bill gates datang indonesia mau makan siang gratis loh nyata mau dijadiin uji klinis loh xixixixi,Neutral,0.9983221888542175,neutral,high,110,19
ini mbg ga cocok namanya makan bergizi gratis lah parameternya suksesnya aja statistik yg keracunan atau engga lebih cocok jadi msg makan siang gratis biar indonesia generasi micin,makan gizi gratis ga_cocok nama makan gizi gratis lah parameter sukses statistik racun engga lebih cocok jadi msg makan siang gratis biar indonesia generasi micin,Positive,0.9009179472923279,positive,high,162,25
hari ini bukan sekadar makan siang ini bentuk cinta tni untuk rakyat kodim nduga hadir di pigapu membagikan makan siang gratis untuk masyarakat karena kenyang rakyat adalah tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,hari bukan_sekadar makan siang bentuk cinta tni masyarakat kodim nduga hadir pigapu bagi makan siang gratis masyarakat kenyang masyarakat tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,Positive,0.9973207116127014,negative,high,218,27
asli si anjing malah pede bilang negara asing ingin belajar sial makan siang gratis sumpah nih orang bego kah,asli anjing malah pede bilang negara asing ajar sial makan siang gratis sumpah orang bego,Negative,0.9998146891593933,negative,high,89,15
itu semua ga penting kan yang penting cuma makan siang gratis wokwowk,semua ga_penting kan penting cuma makan siang gratis wokwowk,Neutral,0.9658561944961548,neutral,high,60,9
prabowo bill gates puji program mbg bill gates tidak ada makan siang gratis,prabowo bill gates puji program makan gizi gratis bill gates tidak_ada makan siang gratis,Neutral,0.9987371563911438,negative,high,89,14
hari ini bukan sekadar makan siang ini bentuk cinta tni untuk rakyat kodim nduga hadir di pigapu membagikan makan siang gratis untuk masyarakat karena kenyang rakyat adalah tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,hari bukan_sekadar makan siang bentuk cinta tni masyarakat kodim nduga hadir pigapu bagi makan siang gratis masyarakat kenyang masyarakat tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,Positive,0.9973207116127014,negative,high,218,27
eh anjing gimana ga ngasih blt duit lu buang percuma demi makan siang gratis ga mau blt makan siang gratis lu alihin buat bangun sekolah atau gratisin kuliah dll kampret emosi gue anjing punya presiden kek orang idiot,anjing gimana ga_ngasih bantu langsung tunai uang kamu buang percuma makan siang gratis ga_mau bantu langsung tunai makan siang gratis kamu alihin buat bangun sekolah gratisin kuliah dan lain lain sial emosi anjing punya presiden orang idiot,Negative,0.9998548030853271,negative,high,241,37
wkwkwkwk setelah ke afrika nihil akhir nya dapet jg nih ke indonesia barter sama makan siang gratis not bad lah bill gates,wkwkwkwk afrika nihil akhir nya dapet indonesia barter sama makan siang gratis not bad lah bill gates,Neutral,0.9728009104728699,neutral,high,101,17
kayaknya anak ini nggak kebagian makan siang gratis deh,kayak anak nggak_kebagian makan siang gratis,Negative,0.9325252175331116,negative,high,44,6
hari ini bukan sekadar makan siang ini bentuk cinta tni untuk rakyat kodim nduga hadir di pigapu membagikan makan siang gratis untuk masyarakat karena kenyang rakyat adalah tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,hari bukan_sekadar makan siang bentuk cinta tni masyarakat kodim nduga hadir pigapu bagi makan siang gratis masyarakat kenyang masyarakat tugas negara kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima,Positive,0.9973207116127014,negative,high,218,27
mampuuuuussssssss diajak nengok makan siang grati bagu bill gate gak ada makan siang yang gratis tolak dana hibah bill gate,mampuuss ajak nengok makan siang gratis bagu bill gate gak_ada makan siang gratis tolak dana hibah bill gate,Neutral,0.9994127750396729,negative,high,108,18
nggak ada makan siang yg gratis dia kaki tangan dajjal menteri kesehatan bagian dari kaki tangannya,nggak_ada makan siang gratis kaki tangan dajjal menteri sehat bagi kaki tangan,Negative,0.5438093543052673,negative,low,78,12
program mbg dapat dukungan rakyatnya jadi uji coba tidak ada makan siang gratis betulkan pak prabowo indonesia jadi lokasi uji coba vaksin tbc yang dikembangkan bill gates,program makan gizi gratis dukung rakyat jadi uji coba tidak_ada makan siang gratis betul pak prabowo indonesia jadi lokasi uji coba vaksin tbc kembang bill gates,Neutral,0.9909828305244446,neutral,high,161,26
saya menilai kepemimpinan prabowo subianto sebagai presiden ri pada skala sekitar prestasinya meliputi program makan siang gratis pembangunan infrastruktur dan diplomasi global yang aktif yang mendapat dukungan tinggi namun ada kritik terkait kebijakan yang tidak,nilai pimpin prabowo subianto presiden skala prestasi liput program makan siang gratis bangun infrastruktur diplomasi global aktif dapat dukung tinggi kritik kait kebijakan tidak,Neutral,0.9965466856956482,positive,high,178,24
mana nih makan siang gratis gua hari ke,mana makan siang gratis gua hari,Neutral,0.5143539905548096,neutral,low,32,6
hari ini bukan sekadar makan siang ini bentuk cinta tni untuk rakyat kodim nduga hadir di pigapu membagikan makan siang gratis untuk masyarakat kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima jangan lupa untuk like komen amp sebarkan,hari bukan_sekadar makan siang bentuk cinta tni masyarakat kodim nduga hadir pigapu bagi makan siang gratis masyarakat kodim tniuntukrakyat bhaktitni tnibersamapapua pigapudamai tniprima jangan_lupa like komen amp sebar,Positive,0.9952667951583862,negative,high,219,28
ga ada makan siang gratis bayar bayar bayar,ga_ada makan siang gratis bayar bayar bayar,Neutral,0.9996135830879211,neutral,high,43,7
pengangguran makin mencemaskan ketua pwnu dki jakarta minta pemerintah segera evaluasi kirakira berani enggak pemerintah melakukan evaluasi total misalnya dengan makan siang gratis kondisi bangsa ini apakah butuh makan apakah butuh pekerjaan,anggur makin cemas ketua pwnu dki jakarta minta pemerintah segera evaluasi kirakira berani tidak pemerintah laku evaluasi total misal makan siang gratis kondisi bangsa butuh makan butuh kerja,Negative,0.9970607161521912,negative,high,191,28
memiliki program makan siang gratis,milik program makan siang gratis,Neutral,0.9951560497283936,neutral,high,32,5
makan siang gratis di bkk thank you jcb,makan siang gratis bkk thank you jcb,Neutral,0.999137282371521,neutral,high,36,7
tidak ada makan siang gratis,tidak_ada makan siang gratis,Negative,0.9928818941116333,negative,high,28,4
program makan siang gratis di pali dihentikan dampak ada siswa di talang ubi keracunan,program makan siang gratis pali henti dampak siswa talang ubi racun,Neutral,0.999683141708374,neutral,high,67,11
jangan mau dibohongi pake embel dana hibah ga ada makan siang gratis kecuali pas jumat berkah,jangan_mau bohong pakai embel dana hibah ga_ada makan siang gratis jumat berkah,Neutral,0.6192117929458618,negative,medium,79,12
tidak ada makan siang gratis,tidak_ada makan siang gratis,Negative,0.9928818941116333,negative,high,28,4
man ada makan siang gratis,man makan siang gratis,Neutral,0.9980555772781372,neutral,high,22,4
siapa sangka seorang petani asal indonesia bisa jadi pemasok untuk program makan siang gratis di jepang allaboutjapan,siapa sangka orang tani asal indonesia jadi pasok program makan siang gratis jepang allaboutjapan,Positive,0.9993436932563782,positive,high,97,14
